,decay,time,log_decay,log_time
409,1860,27780,7.528331767,10.23207162
410,260,27922,5.560681631,10.23717019
411,4560,27922,8.425077903,10.23717019
412,200,28042,5.298317367,10.24145867
413,840,28155,6.733401892,10.24548024
414,3080,28223,8.032684876,10.24789253
415,900,28237,6.802394763,10.24838845
416,3260,28400,8.089482474,10.25414442
417,920,28423,6.82437367,10.25495396
418,5260,28567,8.567886306,10.26000748
419,1240,28614,7.122866659,10.26165139
420,860,28640,6.756932389,10.26255962
421,760,28651,6.633318433,10.26294363
422,1820,28692,7.50659178,10.26437362
423,2100,28731,7.649692624,10.26573196
424,2940,28749,7.98616486,10.26635826
425,840,32652,6.733401892,10.39366139
426,420,32673,6.040254711,10.39430433
427,1600,32703,7.377758908,10.3952221
428,960,32795,6.866933284,10.39803134
429,2300,32914,7.740664402,10.40165338
430,2320,33063,7.749322465,10.40617011
431,100,33143,4.605170186,10.40858681
432,460,33149,6.131226489,10.40876783
433,12960,33194,9.46962297,10.41012442
434,860,33236,6.756932389,10.4113889
435,3620,33253,8.194229305,10.41190027
436,100,33461,4.605170186,10.41813586
437,800,33578,6.684611728,10.42162637
438,1220,33640,7.106606138,10.42347111
439,1240,33641,7.122866659,10.42350084
440,740,33757,6.606650186,10.42694308
441,180,33768,5.192956851,10.42726889
442,1180,34007,7.073269717,10.43432166
443,600,34117,6.396929655,10.43755107
444,900,34226,6.802394763,10.44074087
445,1380,34262,7.229838778,10.44179215
446,4460,34698,8.402904045,10.45443733
447,940,35092,6.845879875,10.46572846
448,800,35139,6.684611728,10.4670669
449,1920,35216,7.560080465,10.4692558
450,12860,35245,9.461876998,10.47007895
451,440,35309,6.086774727,10.47189317
452,5600,35350,8.630521877,10.47305367
453,2320,35395,7.749322465,10.47432585
454,460,35544,6.131226489,10.47852664
455,300,35554,5.703782475,10.47880795
456,2100,35635,7.649692624,10.48108358
457,1780,35666,7.484368643,10.48195313
458,2100,35839,7.649692624,10.48679196
459,3780,36011,8.237479289,10.49157973
460,7820,36033,8.964439834,10.49219046
461,1160,36062,7.056175284,10.49299496
462,4460,36139,8.402904045,10.49512789
463,4280,36155,8.361708289,10.49557053
464,5580,36393,8.626944055,10.50213173
465,12220,36488,9.410829233,10.50473872
466,400,36498,5.991464547,10.50501274
467,960,36519,6.866933284,10.50558795
468,2440,36551,7.799753318,10.50646382
469,1380,36570,7.229838778,10.50698351
470,1320,36586,7.185387016,10.50742093
471,2880,36650,7.965545573,10.50916871
472,19880,36734,9.89746948,10.51145804
473,3960,36875,8.283999304,10.51528909
474,5160,36893,8.548691858,10.51577711
475,620,36938,6.429719478,10.51699611
476,1140,37032,7.038783541,10.51953768
477,340,37333,5.828945618,10.52763293
478,3620,37354,8.194229305,10.52819528
